epoch,training,attack,train_loss,train_acc,test_loss,test_acc,lr
1,standard,none,2.130341238708496,17.31,2.163084686279297,22.96,0.09972609476841367
2,standard,none,1.776868363647461,31.806,1.5974601245880127,39.44,0.09890738003669028
3,standard,none,1.4722320601272583,46.096,1.3194478424072265,50.68,0.09755282581475767
4,standard,none,1.2204188847732544,56.964,1.1957212240219117,57.58,0.09567727288213003
5,standard,none,1.0319154296875,64.144,1.2115917231559754,61.43,0.09330127018922194
6,standard,none,0.9155036254501343,69.054,1.165985372543335,62.85,0.09045084971874737
7,standard,none,0.8183879354476928,72.754,1.0207472531318664,66.75,0.0871572412738697
8,standard,none,0.7473487581443786,75.356,0.7807423975944519,72.83,0.0834565303179429
9,standard,none,0.7004632938957215,77.044,0.8994835289001465,71.28,0.07938926261462365
10,standard,none,0.6453413971710205,78.776,0.7937748785972595,73.3,0.07499999999999998
11,standard,none,0.6084639794540405,79.856,0.730095119714737,76.92,0.07033683215379001
12,standard,none,0.5741076251792908,81.104,0.9283702066421509,69.63,0.06545084971874737
13,standard,none,0.5386251433753967,82.154,0.7773018535614014,74.05,0.06039558454088796
14,standard,none,0.5014264144802093,83.468,0.6189664345741271,79.93,0.05522642316338268
15,standard,none,0.4679522909736633,84.62,0.755003201007843,76.44,0.05000000000000001
16,standard,none,0.44049408378601074,85.622,0.6135340000152588,80.87,0.04477357683661733
17,standard,none,0.40259138175010684,86.728,0.49795961363315583,83.61,0.03960441545911203
18,standard,none,0.3845936876583099,87.244,0.46604559926986694,84.39,0.03454915028125263
19,standard,none,0.35297169507980347,88.224,0.5283139061927795,83.35,0.029663167846209995
20,standard,none,0.3188303264427185,89.394,0.4381700811862946,85.76,0.025000000000000015
21,standard,none,0.29474454838752745,90.33,0.5981510677814483,81.03,0.020610737385376353
22,standard,none,0.26396689120292666,91.252,0.36639541969299316,87.89,0.01654346968205711
23,standard,none,0.23081618578910829,92.404,0.4749849822998047,85.75,0.0128427587261303
24,standard,none,0.20706965208053588,93.108,0.354443967962265,88.69,0.009549150281252639
25,standard,none,0.18528890629291533,93.866,0.3182526831150055,89.96,0.006698729810778069
26,standard,none,0.15788550619602204,94.86,0.3059082698345184,90.51,0.004322727117869954
27,standard,none,0.13702341772556306,95.56,0.2907924110651016,91.15,0.0024471741852423253
28,standard,none,0.1215504149389267,95.93,0.2875805052757263,91.46,0.0010926199633097165
29,standard,none,0.11142915912151337,96.354,0.2813850905418396,91.4,0.00027390523158633015
30,standard,none,0.10555965085983277,96.612,0.28127288274765017,91.54,0.0
