epoch,train_loss,train_clean_acc,train_pgd_acc,test_clean_acc,test_pgd_acc,test_pgd_asr,robust_score,lr,eps_255,alpha_255,train_pgd_steps,eval_pgd_steps
1,1.7065945169830323,72.368,19.753999999999998,73.9,26.5,64.14073071718539,45.46,0.0004969220851487844,8.0,2.0,7,10
2,1.3546006295776367,75.184,30.932,75.05,32.0,57.36175882744837,49.22,0.0004877641290737884,8.0,2.0,7,10
3,1.2802257608032226,76.64999999999999,34.168,76.7,31.45,58.9960886571056,49.55,0.00047275163104709196,8.0,2.0,7,10
4,1.2301694636535645,78.038,35.89,77.10000000000001,32.4,57.97665369649806,50.28,0.0004522542485937369,8.0,2.0,7,10
5,1.1894587853240968,79.286,36.748,77.85,32.15,58.70263326910726,50.43,0.00042677669529663686,8.0,2.0,7,10
6,1.1530937228393554,80.24,37.885999999999996,79.60000000000001,31.5,60.42713567839196,50.74,0.0003969463130731183,8.0,2.0,7,10
7,1.1167137957382203,81.27799999999999,38.422,80.30000000000001,34.25,57.34744707347447,52.67,0.00036349762493488667,8.0,2.0,7,10
8,1.0848342555046082,82.072,39.372,80.2,32.25,59.78802992518703,51.43000000000001,0.00032725424859373687,8.0,2.0,7,10
9,1.0648689436340333,82.738,39.989999999999995,80.45,34.050000000000004,57.67557489123679,52.61,0.00028910861626005774,8.0,2.0,7,10
10,1.0288729651641846,83.864,40.654,81.35,32.7,59.803318992009835,52.16,0.00025,8.0,2.0,7,10
11,1.008541322479248,84.658,41.296,81.25,36.0,55.69230769230769,54.099999999999994,0.00021089138373994235,8.0,2.0,7,10
12,0.9667890850830078,85.812,41.986000000000004,83.6,31.95,61.782296650717704,52.61,0.00017274575140626317,8.0,2.0,7,10
13,0.945548357334137,86.348,42.956,84.1,32.0,61.950059453032104,52.84,0.00013650237506511331,8.0,2.0,7,10
14,0.9114121103286743,87.396,43.704,83.65,33.45,60.01195457262403,53.53,0.00010305368692688174,8.0,2.0,7,10
15,0.8889232865333557,88.108,44.712,84.6,31.1,63.23877068557919,52.5,7.322330470336313e-05,8.0,2.0,7,10
16,0.8652934681510925,88.68599999999999,45.196,84.1,33.45,60.22592152199763,53.71,4.774575140626316e-05,8.0,2.0,7,10
17,0.8379628230667114,89.436,46.156000000000006,85.15,31.45,63.06517909571344,52.93,2.7248368952908048e-05,8.0,2.0,7,10
18,0.8259881534194946,89.656,46.854,83.89999999999999,36.25,56.7938021454112,55.309999999999995,1.2235870926211616e-05,8.0,2.0,7,10
19,0.8200346121597291,90.064,46.958,83.6,36.65,56.16028708133971,55.42999999999999,3.077914851215585e-06,8.0,2.0,7,10
20,0.8176891172218322,90.086,46.992,84.65,34.55,59.18487891317188,54.59,0.0,8.0,2.0,7,10
