epoch,training,attack,train_loss,train_acc,test_loss,test_acc,lr
1,standard,none,2.0947364599227907,26.07,1.8703976787567138,32.22,0.09972609476841367
2,standard,none,1.4945648338317872,44.834,2.081526009750366,36.07,0.09890738003669028
3,standard,none,1.197498168411255,56.974,1.2054307949066163,57.65,0.09755282581475767
4,standard,none,0.9604983572769165,65.942,0.9388832068443298,67.06,0.09567727288213003
5,standard,none,0.7724009064292908,72.888,0.8155299501419068,71.6,0.09330127018922194
6,standard,none,0.6504916599082947,77.552,0.6857152995109558,76.04,0.09045084971874737
7,standard,none,0.5802966590976715,79.976,0.7026309332847596,76.12,0.0871572412738697
8,standard,none,0.5385695111465454,81.518,0.6032798572540283,79.29,0.0834565303179429
9,standard,none,0.49400355028152465,82.852,0.5688908132076264,80.94,0.07938926261462365
10,standard,none,0.4700875081253052,83.932,0.6407674090385437,78.79,0.07499999999999998
11,standard,none,0.43835110808372496,84.938,0.5541670586585998,81.37,0.07033683215379001
12,standard,none,0.4127218779850006,85.646,0.6045053359031677,79.62,0.06545084971874737
13,standard,none,0.38790231523513796,86.712,0.5533670308113098,81.36,0.06039558454088796
14,standard,none,0.367351445980072,87.336,0.4413860915660858,85.15,0.05522642316338268
15,standard,none,0.33834775179862975,88.33,0.4667661025047302,84.65,0.05000000000000001
16,standard,none,0.31532194151878357,89.132,0.5177548114776611,83.43,0.04477357683661733
17,standard,none,0.2858020078754425,90.224,0.41213592467308047,86.51,0.03960441545911203
18,standard,none,0.26484952847480775,90.914,0.3889573150634766,87.08,0.03454915028125263
19,standard,none,0.23818953333854676,91.784,0.37993378965854646,87.77,0.029663167846209995
20,standard,none,0.2067542912864685,92.866,0.3203108445167541,89.04,0.025000000000000015
21,standard,none,0.1843491477870941,93.692,0.3242593602657318,89.59,0.020610737385376353
22,standard,none,0.15439766258478166,94.71,0.3327557215690613,89.73,0.01654346968205711
23,standard,none,0.12796491882324218,95.634,0.3069735782146454,90.33,0.0128427587261303
24,standard,none,0.10408057386755944,96.444,0.2735742147445679,91.69,0.009549150281252639
25,standard,none,0.08051960250377654,97.358,0.257995090675354,92.4,0.006698729810778069
26,standard,none,0.06005270613670349,98.054,0.24321399602890015,92.77,0.004322727117869954
27,standard,none,0.046126983981132505,98.578,0.23142422666549683,93.15,0.0024471741852423253
28,standard,none,0.03544738276779651,98.942,0.22939000244140625,93.22,0.0010926199633097165
29,standard,none,0.029347566325068474,99.214,0.23069230566024782,93.3,0.00027390523158633015
30,standard,none,0.027765990546941757,99.262,0.23018079528808594,93.31,0.0
